Sinuosity_Index,Dist_to_Intersection_m,No_of_Lanes,Speed_Limit_kmh,Has_Zebra_Crossing,Has_Streetlight_Infrastructure,Elevation_Gradient_Pct,Road_Type_residential,Road_Type_trunk,Road_Type_unclassified,Baseline_Traffic_Volume_Low,Topography_Flat,Topography_Uphill,Is_Hotspot_Actual,Predicted_Hotspot,Data_Type
1.1736,85.22,2,60,0,0,18.0,False,True,False,False,False,True,0,0,Real
1.0843,121.31,2,60,0,0,4.5,False,False,False,False,False,True,0,0,Real
1.0586,1386.1,2,60,0,0,21.5,False,True,False,False,False,True,0,0,Real
1.0329,1642.05,2,60,0,0,-63.5,False,True,False,False,False,False,0,0,Real
1.0187,1721.88,2,60,0,0,12.5,False,True,False,False,False,True,0,0,Real
1.1285,172.54,2,60,0,0,-6.0,False,True,False,False,False,False,1,1,Real
1.0205,112.43,2,70,0,0,4.0,False,True,False,False,False,True,1,1,Real
1.5161,60.84,2,60,0,0,-15.5,False,False,False,False,False,False,0,0,Real
1.1158,351.88,2,60,0,0,12.0,False,False,False,False,False,True,0,0,Real
1.0378,60.35,2,60,0,0,9.8,False,True,False,False,False,True,0,0,Real
1.7817,1259.27,2,60,0,0,-14.5,False,True,False,False,False,False,0,0,Real
1.3064,43.54,2,70,0,0,3.5,False,True,False,False,False,True,0,0,Real
1.5494,152.11,2,60,0,0,1.5,False,False,False,False,True,False,0,0,Real
1.209,124.11,2,70,0,0,8.0,False,True,False,False,False,True,0,0,Real
1.0621,717.06,2,60,0,0,-31.5,False,True,False,False,False,False,0,0,Real
1.5512,1557.33,2,60,0,0,-7.5,False,True,False,False,False,False,0,0,Real
1.1288,1005.66,2,60,0,0,-9.0,False,True,False,False,False,False,0,0,Real
1.1782,65.36,2,70,0,0,9.0,False,True,False,False,False,True,0,0,Real
1.0584,49.76,2,60,0,0,18.5,False,False,False,False,False,True,0,0,Real
1.0352,245.99,2,70,0,0,-2.0,False,True,False,False,False,False,0,0,Real
1.0006,94.37,2,70,0,0,-40.91,False,True,False,False,False,False,1,1,Real
1.1912,407.43,2,60,0,0,-2.5,False,False,False,False,False,False,0,0,Real
1.0107,135.68,2,70,0,0,-9.0,False,True,False,False,False,False,0,0,Real
1.0882,225.82,2,60,0,0,12.0,False,True,False,False,False,True,1,1,Real
1.1741,110.84,2,60,0,0,-7.5,False,False,False,False,False,False,0,0,Real
1.0345,352.96,2,60,0,0,-8.5,False,True,False,False,False,False,0,0,Real
1.5581,64.2,1,15,0,0,-12.0,False,False,True,True,False,False,0,0,Real
1.1899,1304.93,2,60,0,0,12.0,False,True,False,False,False,True,0,0,Real
1.0078,222.53,2,70,0,0,6.5,False,True,False,False,False,True,1,1,Real
1.1446,158.4,2,60,0,0,17.5,False,False,False,False,False,True,0,0,Real
1.0702,42.11,1,25,0,0,-23.0,True,False,False,True,False,False,0,0,Real
1.0506,629.58,1,70,0,0,14.99,False,True,False,False,False,True,0,0,Real
1.1038,2134.37,2,60,0,0,9.0,False,True,False,False,False,True,1,1,Real
1.0173,248.8,2,70,0,0,-8.5,False,True,False,False,False,False,0,0,Real
1.2509,81.24,2,70,0,0,6.0,False,True,False,False,False,True,0,0,Real
1.0324,427.65,2,60,0,0,-10.5,False,True,False,False,False,False,1,1,Real
1.2799,137.28,1,25,0,0,5.5,True,False,False,True,False,True,0,0,Real
1.1971,83.52,2,60,0,0,2.0,False,False,False,False,False,True,0,0,Real
1.2542,218.91,2,60,0,0,-5.5,False,True,False,False,False,False,0,0,Real
1.0341,104.54,2,60,0,0,0.5,False,False,False,False,True,False,0,0,Real
1.0,1292.9,2,60,0,0,0.0,False,True,False,False,True,False,0,0,Real
1.0148,203.74,2,60,0,0,3.72,False,False,False,False,False,True,0,0,Real
1.0249,239.01,2,70,0,0,1.5,False,True,False,False,True,False,0,0,Real
1.1533,207.52,2,60,0,0,-1.0,False,False,False,False,True,False,0,0,Real
1.0676,126.87,2,60,0,0,-4.5,False,False,False,False,False,False,0,0,Real
1.067,1372.3,2,60,0,0,-31.0,False,True,False,False,False,False,1,1,Real
1.0724,93.93,2,60,0,0,13.0,False,True,False,False,False,True,0,0,Real
1.0531,834.81,2,60,0,0,30.0,False,True,False,False,False,True,0,0,Real
1.0306,1111.54,2,60,0,0,3.0,False,True,False,False,False,True,0,0,Real
1.6387,208.77,2,60,0,0,10.0,False,True,False,False,False,True,0,0,Real
1.6216,130.37,2,60,0,0,-4.0,False,True,False,False,False,False,0,0,Real
1.4467,186.23,2,60,0,0,-3.5,False,False,False,False,False,False,0,0,Real
1.1583,33.9,2,60,0,0,-3.0,False,False,False,False,False,False,0,0,Real
1.3881,294.28,2,60,0,0,-5.5,False,False,False,False,False,False,0,0,Real
1.1838,49.17,2,70,0,0,2.5,False,True,False,False,False,True,0,0,Real
1.4576,260.27,2,60,0,0,10.0,False,False,False,False,False,True,0,0,Real
1.2458,210.55,2,70,0,0,-12.5,False,True,False,False,False,False,0,0,Real
1.4613,95.34,2,60,0,0,2.5,False,False,False,False,False,True,0,0,Real
2.3479,62.89,2,60,0,0,8.0,False,False,False,False,False,True,0,0,Real
1.0092,198.61,2,70,0,0,15.5,False,True,False,False,False,True,1,1,Real
1.0662,120.95,2,60,0,0,-1.5,False,False,False,False,True,False,1,1,Real
1.1366,240.38,1,25,0,0,28.5,True,False,False,True,False,True,0,0,Real
1.0567,52.61,2,60,0,0,-14.5,False,False,False,False,False,False,0,0,Real
2.6798,241.63,2,60,0,0,3.0,False,True,False,False,False,True,0,0,Real
1.0009,188.42,2,70,0,0,-1.0,False,True,False,False,True,False,0,0,Real
1.2622,84.53,2,60,0,0,10.5,False,False,False,False,False,True,0,0,Real
1.0468,310.47,2,60,0,0,-5.5,False,True,False,False,False,False,1,1,Real
1.1045,134.64,2,60,0,0,-2.5,False,False,False,False,False,False,1,1,Real
2.4514,143.54,2,60,0,0,1.5,False,False,False,False,True,False,0,0,Real
1.0153,117.06,2,70,0,0,13.0,False,True,False,False,False,True,0,0,Real
1.0337,421.39,2,70,0,0,1.5,False,True,False,False,True,False,1,1,Real
1.2887,155.6,2,60,0,0,3.5,False,False,False,False,False,True,0,0,Real
1.0238,46.7,2,70,0,0,-1.0,False,True,False,False,True,False,1,1,Real
1.0429,212.18,2,70,0,0,7.0,False,True,False,False,False,True,1,1,Real
1.1996,463.12,2,60,0,0,-1.0,False,False,False,False,True,False,0,0,Real
1.104,1506.11,2,60,0,0,67.0,False,True,False,False,False,True,0,0,Real
1.1005,1811.08,2,60,0,0,46.0,False,True,False,False,False,True,0,0,Real
1.0842,573.94,2,60,0,0,9.5,False,True,False,False,False,True,1,1,Real
1.3595,159.14,2,60,0,0,-12.5,False,False,False,False,False,False,0,0,Real
1.0713,131.58,1,25,0,0,0.0,True,False,False,True,True,False,0,0,Real
1.0752,254.65,1,25,0,0,-25.89,True,False,False,True,False,False,0,0,Real
1.2833,296.93,2,60,0,0,-8.0,False,False,False,False,False,False,0,0,Real
1.0,915.2,2,60,0,0,-67.54,False,True,False,False,False,False,0,0,Real
1.1415,43.86,2,70,0,0,6.5,False,True,False,False,False,True,0,0,Real
1.1279,142.26,2,70,0,0,-1.5,False,True,False,False,True,False,1,1,Real
1.2194,1202.38,2,60,0,0,15.5,False,True,False,False,False,True,0,0,Real
1.0046,85.27,2,70,0,0,-14.0,False,True,False,False,False,False,0,0,Real
1.0256,103.04,2,70,0,0,8.5,False,True,False,False,False,True,0,0,Real
1.0539659391804443,360.951550691756,2,60,0,0,-2.625960221746917,False,True,False,False,False,True,1,1,Synthetic
1.0978295701242018,1659.0415361687972,2,60,0,0,9.152306884586686,False,True,False,False,False,True,1,1,Synthetic
1.023477682023779,53.11998805363962,2,70,0,0,-0.5116394299680807,False,True,False,False,True,True,1,1,Synthetic
1.0477342815829165,139.19660408938202,2,70,0,0,1.8161944772188239,False,True,False,False,False,True,1,1,Synthetic
1.0767982954768323,136.1902971113309,2,70,0,0,2.461372443656412,False,True,False,False,True,True,1,1,Synthetic
1.0606228526675936,119.91023423912249,2,61,0,0,-0.8287897083537165,False,True,False,False,True,True,1,1,Synthetic
1.0852225102920947,1749.6594678884956,2,60,0,0,-11.192923595549193,False,True,False,False,False,True,1,1,Synthetic
1.9672820550465282,83.88652468416586,2,60,0,0,-7.587337746617379,False,True,False,False,False,True,1,1,Synthetic
1.0501914169622535,334.36135366430335,2,60,0,0,-4.139806031181731,False,True,False,False,False,True,1,1,Synthetic
1.0805110957056785,133.04332751352788,2,62,0,0,0.08779981600016917,False,True,False,False,False,True,1,1,Synthetic
1.0423790419250372,347.90302821945636,2,63,0,0,-3.1376559904778736,False,True,False,False,True,False,1,1,Synthetic
1.3575875139283813,109.08004222251523,2,60,0,0,-3.526121994581171,False,True,False,False,True,False,1,1,Synthetic
1.5523595861970176,101.14580975354897,2,60,0,0,-4.88044213765577,False,True,False,False,True,False,1,1,Synthetic
1.0499372952964954,342.93707491423936,2,70,0,0,1.7733551396716398,False,True,False,False,True,True,1,1,Synthetic
1.058723541392985,204.8523693829681,2,68,0,0,4.596892078168148,False,True,False,False,False,True,1,1,Synthetic
1.064032639742497,286.89447095030243,2,69,0,0,2.2281152917658105,False,True,False,False,False,True,1,1,Synthetic
1.2764058367220301,112.38705791359125,2,60,0,0,-2.961636648152755,False,True,False,False,True,False,1,1,Synthetic
1.1209656189238169,163.56168962339993,2,69,0,0,-9.44123147737331,False,True,False,False,False,True,1,1,Synthetic
1.10581471863218,93.16051452991796,2,68,0,0,-37.44876810257392,False,True,False,False,False,False,1,1,Synthetic
1.0611099415128884,1113.9221481635448,2,60,0,0,-2.6590495868161597,False,True,False,False,False,True,1,1,Synthetic
1.01230940544608,197.23264276345756,2,69,0,0,14.835930997696494,False,True,False,False,False,True,1,1,Synthetic
1.036328227310942,408.69132595554953,2,70,0,0,1.5442462510259598,False,True,False,False,True,True,1,1,Synthetic
1.127449239416436,146.21493416361835,2,70,0,0,-3.263845761772307,False,True,False,False,True,False,1,1,Synthetic
1.1274145450661472,170.8258857502906,2,60,0,0,-5.841704488813117,False,True,False,False,False,False,1,1,Synthetic
1.02194166969807,103.01728019168758,2,66,0,0,-28.08873166461975,False,True,False,False,True,False,1,1,Synthetic
1.0335306438703586,187.83238061722557,2,63,0,0,10.303756962360596,False,True,False,False,False,True,1,1,Synthetic
1.0579640772419292,1114.2714921958845,2,62,0,0,-22.181156467348384,False,True,False,False,True,False,1,1,Synthetic
1.0786435530106777,260.3859085278661,2,60,0,0,8.146593955918409,False,True,False,False,False,True,1,1,Synthetic
1.6512033631769356,93.4156283370625,2,63,0,0,-3.718960079676929,False,True,False,False,False,True,1,1,Synthetic
1.04409849881374,118.66955546015673,2,67,0,0,2.173925687032025,False,True,False,False,False,True,1,1,Synthetic
1.055808754980427,292.7889616107043,2,65,0,0,-1.4297793763131361,False,True,False,False,False,True,1,1,Synthetic
1.0396998748536928,448.26580487155803,2,60,0,0,-7.681515500504747,False,True,False,False,False,True,1,1,Synthetic
1.1984821404536588,92.09526527867146,2,68,0,0,-34.40030263661544,False,True,False,False,False,False,1,1,Synthetic
1.1277285335195364,143.76443198945776,2,70,0,0,-2.1709557931179373,False,True,False,False,True,False,1,1,Synthetic
1.083537790298326,571.9396021784089,2,60,0,0,9.395095492804138,False,True,False,False,True,True,1,1,Synthetic
1.0396164844950222,190.44322983572388,2,62,0,0,6.886122384648329,False,True,False,False,False,True,1,1,Synthetic
1.2179849639951934,53.88754620109102,2,68,0,0,-2.391009770739207,False,True,False,False,True,False,1,1,Synthetic
1.0325711856308317,426.8230077395693,2,60,0,0,-10.43097353595497,False,True,False,False,False,True,1,1,Synthetic
1.051259597290996,214.69710611587607,2,68,0,0,7.9226928577258295,False,True,False,False,False,True,1,1,Synthetic
1.0074009096227352,80.39588958121591,2,70,0,0,-29.210676592958396,False,True,False,False,True,False,1,1,Synthetic
1.0730785999766872,280.5144832742875,2,60,0,0,5.902661280922214,False,True,False,False,False,True,1,1,Synthetic
1.0366963584584141,396.0193068544051,2,67,0,0,-0.10110757319838015,False,True,False,False,True,False,1,1,Synthetic
1.1171737186326605,159.92470318059296,2,70,0,0,-9.167196268786373,False,True,False,False,False,True,1,1,Synthetic
1.0731656105309615,1086.1153009593945,2,60,0,0,-16.48213799395696,False,True,False,False,False,True,1,1,Synthetic
1.0689929478238323,1279.7947776375174,2,60,0,0,-26.307303089232246,False,True,False,False,False,True,1,1,Synthetic
1.0771935154403978,225.3696102711307,2,61,0,0,11.247068842315764,False,True,False,False,False,True,1,1,Synthetic
1.077720727781434,874.6837074659509,2,60,0,0,-5.756425863483905,False,True,False,False,False,True,1,1,Synthetic
1.0916229526854224,1882.2025422005415,2,60,0,0,-4.2359209941059675,False,True,False,False,False,True,1,1,Synthetic
1.127753815794342,143.54260750877194,2,70,0,0,-2.072025152574213,False,True,False,False,True,False,1,1,Synthetic
1.086074007662207,1567.1693434228036,2,60,0,0,4.490756335122898,False,True,False,False,False,True,1,1,Synthetic
1.0561713953765093,1063.079927251546,2,63,0,0,-20.43154203413072,False,True,False,False,True,False,1,1,Synthetic
1.1048878332606957,167.45310145361228,2,67,0,0,-5.768108120916121,False,True,False,False,False,True,1,1,Synthetic
1.0511745229837999,480.6717175154459,2,60,0,0,-3.251149427104263,False,True,False,False,False,True,1,1,Synthetic
1.0711505710731912,1458.2517852648589,2,60,0,0,-26.48850970305306,False,True,False,False,False,True,1,1,Synthetic
1.03748849192881,124.91894376278213,2,65,0,0,3.2500656735424567,False,True,False,False,True,True,1,1,Synthetic
1.883737841857495,86.4052059099362,2,61,0,0,-6.56486904874038,False,True,False,False,False,True,1,1,Synthetic
1.027399483575069,126.31360079991693,2,67,0,0,4.919203085006955,False,True,False,False,True,True,1,1,Synthetic
1.0796455665512956,125.00681390780245,2,62,0,0,-11.68824628262497,False,True,False,False,False,False,1,1,Synthetic
1.032192987815136,246.81769434255267,2,70,0,0,4.525747389062733,False,True,False,False,False,True,1,1,Synthetic
1.0442971002022772,205.0341760145823,2,67,0,0,7.0,False,True,False,False,False,True,1,1,Synthetic
1.0586366776164018,496.7185182253878,2,65,0,0,5.450364770915126,False,True,False,False,True,True,1,1,Synthetic
1.0615684918795152,322.1468330458321,2,60,0,0,1.261488661094866,False,True,False,False,False,True,1,1,Synthetic
1.1165788845126345,150.55435968963232,2,65,0,0,-7.079671853131603,False,True,False,False,False,False,1,1,Synthetic
